Year,site_name,launch_site,Longitude,Latitude,Category,Result,Count
1956,"Cape Canaveral Air Station, Florida",CC,-80.54,28.46,Test,Success,2
1956,"Centre d'Essais et de Recherches d'Engins Speciaux, Ile du Levant, Var",CERES,6.47,43.05,Suborbital,Success,2
1956,"Churchill Research Range, Fort Churchill, Manitoba, Canada",FC,-93.8203,58.7343,Atmosphere,Success,10
1956,"Churchill Research Range, Fort Churchill, Manitoba, Canada",FC,-93.8203,58.7343,Suborbital,Failure,1
1956,"Churchill Research Range, Fort Churchill, Manitoba, Canada",FC,-93.8203,58.7343,Suborbital,Success,6
1956,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Military,Failure,5
1956,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Military,Success,78
1956,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",GTsP-4,45.8,48.5,Suborbital,Success,4
1956,"Holloman Air Development Center, New Mexico",HADC,-106.103,32.8496,Military,Success,16
1956,"Holloman Air Development Center, New Mexico",HADC,-106.103,32.8496,Suborbital,Failure,2
1956,"Holloman Air Development Center, New Mexico",HADC,-106.103,32.8496,Suborbital,Success,16
1956,"Centre Interarmees d'Essais d'Engins Speciaux (CIEES), Algerie",HMG,-3.083,30.887,Suborbital,Success,1
1956,"Naval Missile and Astronautics Center, Point Mugu, California",PM,-119.12,34.12,Suborbital,Success,2
1956,"SLBM Launch Area, Western Test Range, Pacific Ocean",PM?,-120,35,Suborbital,Success,1
1956,1956 NRL Cruise Launch Point 1,POR9,-121.57,29.68,Suborbital,Failure,3
1956,1956 NRL Cruise Launch Point 1,POR9,-121.57,29.68,Suborbital,Success,7
1956,"Wallops Flight Facility, Wallops Island, Virginia",WI,-75.48,37.83,Atmosphere,Failure,2
1956,"Wallops Flight Facility, Wallops Island, Virginia",WI,-75.48,37.83,Atmosphere,Success,21
1956,"Wallops Flight Facility, Wallops Island, Virginia",WI,-75.48,37.83,Suborbital,Failure,1
1956,"Wallops Flight Facility, Wallops Island, Virginia",WI,-75.48,37.83,Suborbital,Success,5
1956,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Atmosphere,Success,105
1956,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Military,Success,16
1956,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Military,Unknown,99
1956,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Suborbital,Failure,7
1956,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Suborbital,Success,41
1956,"White Sands Missile Range, New Mexico",WS,-106.53,32.4,Suborbital,Unknown,1
