Site,Code,Ucode,Type,StateCode,Tstart,Tstop,ShortName,Name,Location,Longitude,Latitude,Error,Parent,ShortEname,Ename,Uname
CLBI,,CLBI,LS,BR,15-Dec-65,*,CLBI  -,"Centro de Lancamento da Barreira do Inferno, Natal, Rio Grande N, Brasil",-,-35.383,-5.866,0.02,IAE,-,-,-
COLDLK,,COLDLK,LS,CA,1954,1990,COLDL -,"Cold Lake Air Weapons Range, Alberta (meteorological rockets)",-,-110,54,0.5,RCAR,-,-,-
CORO,,CORO,LS,SR,18-Sep-65,27-Sep-65,CORO  -,"Coronie, Surinam",-,-56.3,5.85,0.02,ZWO,-,-,-
CP,,CP,LS,CA,07-Mar-69,21-Jan-82,CP    -,"Cape Parry, PIN Main DEW, Inuvik Region, Northwest Territory, Canada",-,-124.717,70.17,0.02,CA,-,-,-
CRI23,,CRI23,LS,LUNA,06-Nov-74,06-Nov-74,CRI23 KT-410,"KT No. 410, Luna-23 Site, Mare Crisium, Mare Undarum A3",Luna,56.5,13.5,0.01,NPOL,-,-,LUNA
CRI24,,CRI24,LS,LUNA,19-Aug-74,19-Aug-74,CRI24 KT-413,"KT No. 413, Luna-24 Site, Mare Crisium, Mare Undarum B1",Luna,62.2,12.75,0.01,NPOL,-,-,LUNA
CSB,,CSB,LS,US,1960,*,CSB   -,"Site D3, Cape San Blas, Eglin AFB, Florida",-,-85.37,29.67,0.02,USAF,-,-,-
CSG,,CSG,LS,GUF,1968,*,CSG   -,"Centre Spatial Guyanais, Kourou, Guyane Francaise",-,-52.7517,5.2333,0.02,CNES,-,-,-
CUX,,CUX,LS,D,1945,1963,CUX   -,"Cuxhaven, Niedersachsen, Deutschland",-,8.7,53.87,0.02,UK,-,-,-
CYCL,,CYCL,LS,GR,20-Aug,-,Pachia?,"NAMFI target launch site: either Ftena, Pachia or Makra",Cyclades Islands,36.3,25.8,0.15,NATO,-,- -,
DAT,,DAT,LS,US,1963,1963,DAT   -,"Datil, New Mexico",-,-107.7414,34.1219,0.02,USA,-,-,-
DBAY,,DBAY,LS,LB,1960,1966,Dbayeh,"Dbayeh launch site, LRS","Dbayeh, Liban",35.6,33.93,0.1,LRS,-,-,-
DEK,,DEK,LS,IR,1990s,1990s,DEK   -,"Dasht-E-Kabir, Iran (Khatami Air Base?)",-,51.85,32.75,0.05,IR,-,-,-
DERZH,,DERZH,LS,SU,1960s,1990s,DERZH,"Derzhavinsk missile site, Russia",-,66.1,51.3,0.1,RVSN,-,-,-
DES,,DES,LS,LUNA,24-Apr-72,24-Apr-72,DES   LM11-DS,"LM 11 Descent Stage, Descartes Base, Descartes Plain, Theophilus D2",Luna,15.51,-8.9,0.01,NASA,-,-,LUNA
DEVER,,DEVER,LS,EG,1973,1973,Deversoir,Deversoir Air Base,Egypt,32.3353,30.4227,0.01,EG,-,-,-
DDU,,DDU,LS,TF,26-Jan-67,29-Jan-67,DDU   -,"Dumont d'Urville, Terre Adelie","Dumont d'Urville, Terre Adelie",140.02,-64.67,0.02,CNES,-,-,-
DRAWP,,DRAWP,LS,PL,2015,-,Drawsko Pol,Centrum Szkolenia Wojsk Ladowych Drawsko,"Drawsko Pomorskie, Poland",15.764,53.433,0.01,PAI,-,-,-
DROV,,DROV,LS,RU,1988,1989,DROV,"Drovyanaya, Chitinsk oblast'",-,113,51.5,0.1,RVSN,-,-,-
EAFB,,EAFB,LS,US,1957,*,EAFB  -,"Edwards AFB, California",-,-117.8,34.9,0.1,USAF,-,-,-
EAO,,EAO,LS,RU,2016,*,EAO,"Iskander mobile launch site, Everyskaya avtonomnaya oblast",-,133,48.75,2,RVSN,-,-,-
EGL,,EGL,LS,US,18-Sep-59,12-Dec-80,EGL   -,"Santa Rosa Island, Eglin AFB, Florida",-,-86.74,30.38,0.02,USAF,-,-,-
ELAR,,ELAR,LS,E,15-Oct-66,*,ELAR  -,"Estacion de sondeos atmosfericos de El Arenosillo, Huelva, Espana",-,-6.7417,37.0958,0.0002,E,-,-,-
ELLS,,ELLS,LS,US,-,-,ELLS  -,Ellsworth AFB,-,-103.104,44.145,0.001,SAC,-,-,-
ELM,,ELM,LS,US,1959,1979,Elmendorf AFB,Elmendorf AFB,"Anchorage, Alaska",61.25,-149.8,0.001,SAC,-,-,-
EMBA,,EMBA,LS,KZ,-,1999,EMBA  -,"Emba test range, Kazakshtan",-,55.42,47.1,0.1,MO,-,-,-
ENW,,ENW,LS,TTPI,03-Oct-57,22-Oct-57,ENW   -,"EPG (Eniwetok Proving Grounds), Eniwetok (Enewetak) Atoll, Marshall Is.",-,162.25,11.5,0.02,USAF,-,-,-
EQUOD,,EQUOD,LS,CA,07-Mar-70,10-Jul-72,EQUOD -,"East Quoddy, Newfoundland",-,-63.42,44.9,0.02,NRCC,-,-,-
ESR,,ESR,LS,S,01-Feb-65,*,ESR   -,"ESRANGE, Kiruna",-,21.107,67.894,0.002,ESRO,-,-,-
EUNYUL,,EUNYUL,LS,KP,2016,-,Hwangju,"Scud launch site near Eunyul, N Hwanghae Prov.",-,125.183,38.519,1,CMIK,-,-,-
